i,j,k,LR
0,2564,2562,L
0,2562,2565,L
0,2565,2567,L
0,2567,2569,L
0,2569,2564,L
3,2574,2572,L
3,2572,2575,L
3,2575,2577,L
4,2581,2579,L
4,2579,2582,L
5,2586,2584,L
5,2584,2587,L
1,2591,2589,L
1,2589,2592,L
2,2596,2594,L
8,2599,2597,L
9,2602,2600,L
10,2605,2603,L
6,2608,2606,L
7,2611,2609,L
12,2614,2612,L
14,2617,2615,L
14,2619,2617,L
15,2622,2620,L
12,2625,2623,L
12,2612,2625,L
17,2629,2627,L
15,2632,2630,L
15,2620,2632,L
19,2636,2634,L
17,2639,2637,L
17,2627,2639,L
14,2642,2619,L
19,2645,2643,L
19,2634,2645,L
22,2649,2647,L
21,2652,2650,L
21,2654,2652,L
24,2657,2655,L
22,2660,2658,L
22,2647,2660,L
13,2664,2662,L
24,2667,2665,L
24,2655,2667,L
27,2671,2669,L
26,2674,2672,L
26,2676,2674,L
16,2679,2677,L
27,2682,2680,L
27,2669,2682,L
30,2686,2684,L
29,2689,2687,L
29,2691,2689,L
18,2694,2692,L
30,2697,2695,L
30,2684,2697,L
33,2701,2699,L
32,2704,2702,L
32,2706,2704,L
20,2709,2707,L
33,2712,2710,L
33,2699,2712,L
23,2716,2714,L
35,2719,2717,L
35,2721,2719,L
25,2724,2722,L
38,2727,2725,L
38,2729,2727,L
28,2732,2730,L
37,2735,2733,L
37,2737,2735,L
31,2740,2738,L
39,2743,2741,L
39,2745,2743,L
34,2748,2746,L
40,2751,2749,L
40,2753,2751,L
36,2756,2754,L
41,2759,2757,L
41,2761,2759,L
42,2764,2762,L
44,2767,2765,L
44,2769,2767,L
45,2772,2770,L
42,2775,2773,L
42,2762,2775,L
47,2779,2777,L
45,2782,2780,L
45,2770,2782,L
49,2786,2784,L
47,2789,2787,L
47,2777,2789,L
44,2792,2769,L
49,2795,2793,L
49,2784,2795,L
52,2799,2797,L
54,2802,2800,L
54,2804,2802,L
55,2807,2805,L
52,2810,2808,L
52,2797,2810,L
57,2814,2812,L
55,2817,2815,L
55,2805,2817,L
59,2821,2819,L
61,2824,2822,L
61,2826,2824,L
62,2829,2827,L
59,2832,2830,L
59,2819,2832,L
64,2836,2834,L
66,2839,2837,L
66,2841,2839,L
67,2844,2842,L
64,2847,2845,L
64,2834,2847,L
69,2851,2849,L
71,2854,2852,L
71,2856,2854,L
72,2859,2857,L
69,2862,2860,L
69,2849,2862,L
74,2866,2864,L
76,2869,2867,L
76,2871,2869,L
77,2874,2872,L
79,2877,2875,L
79,2879,2877,L
80,2882,2880,L
82,2885,2883,L
82,2887,2885,L
83,2890,2888,L
85,2893,2891,L
85,2895,2893,L
86,2898,2896,L
88,2901,2899,L
88,2903,2901,L
89,2906,2904,L
91,2909,2907,L
91,2911,2909,L
92,2914,2912,L
94,2917,2915,L
94,2919,2917,L
43,2922,2920,L
95,2925,2923,L
95,2927,2925,L
95,2929,2927,L
96,2932,2930,L
96,2934,2932,L
97,2937,2935,L
99,2940,2938,L
99,2942,2940,L
46,2945,2943,L
100,2948,2946,L
100,2950,2948,L
100,2952,2950,L
92,2955,2953,L
92,2912,2955,L
101,2959,2957,L
103,2962,2960,L
103,2964,2962,L
48,2967,2965,L
104,2970,2968,L
104,2972,2970,L
104,2974,2972,L
97,2977,2975,L
97,2935,2977,L
105,2981,2979,L
107,2984,2982,L
107,2986,2984,L
50,2989,2987,L
108,2992,2990,L
108,2994,2992,L
108,2996,2994,L
101,2999,2997,L
101,2957,2999,L
96,3002,2934,L
109,3005,3003,L
109,3007,3005,L
51,3010,3008,L
110,3013,3011,L
110,3015,3013,L
110,3017,3015,L
105,3020,3018,L
105,2979,3020,L
112,3024,3022,L
114,3027,3025,L
114,3029,3027,L
53,3032,3030,L
115,3035,3033,L
115,3037,3035,L
115,3039,3037,L
111,3042,3040,L
111,3044,3042,L
116,3047,3045,L
118,3050,3048,L
118,3052,3050,L
56,3055,3053,L
119,3058,3056,L
119,3060,3058,L
119,3062,3060,L
112,3065,3063,L
112,3022,3065,L
93,3069,3067,L
120,3072,3070,L
120,3074,3072,L
58,3077,3075,L
121,3080,3078,L
121,3082,3080,L
121,3084,3082,L
116,3087,3085,L
116,3045,3087,L
123,3091,3089,L
125,3094,3092,L
125,3096,3094,L
60,3099,3097,L
126,3102,3100,L
126,3104,3102,L
126,3106,3104,L
122,3109,3107,L
122,3111,3109,L
98,3114,3112,L
127,3117,3115,L
127,3119,3117,L
63,3122,3120,L
128,3125,3123,L
128,3127,3125,L
128,3129,3127,L
123,3132,3130,L
123,3089,3132,L
130,3136,3134,L
132,3139,3137,L
132,3141,3139,L
65,3144,3142,L
133,3147,3145,L
133,3149,3147,L
133,3151,3149,L
129,3154,3152,L
129,3156,3154,L
102,3159,3157,L
134,3162,3160,L
134,3164,3162,L
68,3167,3165,L
135,3170,3168,L
135,3172,3170,L
135,3174,3172,L
130,3177,3175,L
130,3134,3177,L
137,3181,3179,L
139,3184,3182,L
139,3186,3184,L
70,3189,3187,L
140,3192,3190,L
140,3194,3192,L
140,3196,3194,L
136,3199,3197,L
136,3201,3199,L
106,3204,3202,L
141,3207,3205,L
141,3209,3207,L
73,3212,3210,L
142,3215,3213,L
142,3217,3215,L
142,3219,3217,L
137,3222,3220,L
137,3179,3222,L
113,3226,3224,L
145,3229,3227,L
145,3231,3229,L
75,3234,3232,L
146,3237,3235,L
146,3239,3237,L
146,3241,3239,L
143,3244,3242,L
143,3246,3244,L
117,3249,3247,L
147,3252,3250,L
147,3254,3252,L
78,3257,3255,L
148,3260,3258,L
148,3262,3260,L
148,3264,3262,L
150,3267,3265,L
150,3269,3267,L
124,3272,3270,L
151,3275,3273,L
151,3277,3275,L
81,3280,3278,L
152,3283,3281,L
152,3285,3283,L
152,3287,3285,L
149,3290,3288,L
149,3292,3290,L
131,3295,3293,L
154,3298,3296,L
154,3300,3298,L
84,3303,3301,L
155,3306,3304,L
155,3308,3306,L
155,3310,3308,L
153,3313,3311,L
153,3315,3313,L
138,3318,3316,L
157,3321,3319,L
157,3323,3321,L
87,3326,3324,L
158,3329,3327,L
158,3331,3329,L
158,3333,3331,L
156,3336,3334,L
156,3338,3336,L
144,3341,3339,L
160,3344,3342,L
160,3346,3344,L
90,3349,3347,L
161,3352,3350,L
161,3354,3352,L
161,3356,3354,L
159,3359,3357,L
159,3361,3359,L
162,3364,3362,L
164,3367,3365,L
164,3369,3367,L
165,3372,3370,L
162,3375,3373,L
162,3362,3375,L
167,3379,3377,L
165,3382,3380,L
165,3370,3382,L
169,3386,3384,L
167,3389,3387,L
167,3377,3389,L
164,3392,3369,L
169,3395,3393,L
169,3384,3395,L
172,3399,3397,L
174,3402,3400,L
174,3404,3402,L
175,3407,3405,L
172,3410,3408,L
172,3397,3410,L
177,3414,3412,L
175,3417,3415,L
175,3405,3417,L
179,3421,3419,L
181,3424,3422,L
181,3426,3424,L
182,3429,3427,L
179,3432,3430,L
179,3419,3432,L
184,3436,3434,L
186,3439,3437,L
186,3441,3439,L
187,3444,3442,L
184,3447,3445,L
184,3434,3447,L
189,3451,3449,L
191,3454,3452,L
191,3456,3454,L
192,3459,3457,L
189,3462,3460,L
189,3449,3462,L
194,3466,3464,L
196,3469,3467,L
196,3471,3469,L
197,3474,3472,L
199,3477,3475,L
199,3479,3477,L
200,3482,3480,L
202,3485,3483,L
202,3487,3485,L
203,3490,3488,L
205,3493,3491,L
205,3495,3493,L
206,3498,3496,L
208,3501,3499,L
208,3503,3501,L
209,3506,3504,L
211,3509,3507,L
211,3511,3509,L
212,3514,3512,L
214,3517,3515,L
214,3519,3517,L
215,3522,3520,L
217,3525,3523,L
217,3527,3525,L
217,3529,3527,L
219,3532,3530,L
219,3534,3532,L
220,3537,3535,L
222,3540,3538,L
222,3542,3540,L
223,3545,3543,L
225,3548,3546,L
225,3550,3548,L
225,3552,3550,L
212,3555,3553,L
212,3512,3555,L
227,3559,3557,L
229,3562,3560,L
229,3564,3562,L
230,3567,3565,L
232,3570,3568,L
232,3572,3570,L
232,3574,3572,L
220,3577,3575,L
220,3535,3577,L
234,3581,3579,L
236,3584,3582,L
236,3586,3584,L
237,3589,3587,L
239,3592,3590,L
239,3594,3592,L
239,3596,3594,L
227,3599,3597,L
227,3557,3599,L
219,3602,3534,L
242,3605,3603,L
242,3607,3605,L
243,3610,3608,L
245,3613,3611,L
245,3615,3613,L
245,3617,3615,L
234,3620,3618,L
234,3579,3620,L
247,3624,3622,L
249,3627,3625,L
249,3629,3627,L
250,3632,3630,L
252,3635,3633,L
252,3637,3635,L
252,3639,3637,L
254,3642,3640,L
254,3644,3642,L
255,3647,3645,L
257,3650,3648,L
257,3652,3650,L
258,3655,3653,L
260,3658,3656,L
260,3660,3658,L
260,3662,3660,L
247,3665,3663,L
247,3622,3665,L
262,3669,3667,L
264,3672,3670,L
264,3674,3672,L
265,3677,3675,L
267,3680,3678,L
267,3682,3680,L
267,3684,3682,L
255,3687,3685,L
255,3645,3687,L
269,3691,3689,L
271,3694,3692,L
271,3696,3694,L
272,3699,3697,L
274,3702,3700,L
274,3704,3702,L
274,3706,3704,L
276,3709,3707,L
276,3711,3709,L
277,3714,3712,L
279,3717,3715,L
279,3719,3717,L
280,3722,3720,L
282,3725,3723,L
282,3727,3725,L
282,3729,3727,L
269,3732,3730,L
269,3689,3732,L
284,3736,3734,L
286,3739,3737,L
286,3741,3739,L
287,3744,3742,L
289,3747,3745,L
289,3749,3747,L
289,3751,3749,L
291,3754,3752,L
291,3756,3754,L
292,3759,3757,L
294,3762,3760,L
294,3764,3762,L
295,3767,3765,L
297,3770,3768,L
297,3772,3770,L
297,3774,3772,L
284,3777,3775,L
284,3734,3777,L
299,3781,3779,L
301,3784,3782,L
301,3786,3784,L
302,3789,3787,L
304,3792,3790,L
304,3794,3792,L
304,3796,3794,L
306,3799,3797,L
306,3801,3799,L
307,3804,3802,L
309,3807,3805,L
309,3809,3807,L
310,3812,3810,L
312,3815,3813,L
312,3817,3815,L
312,3819,3817,L
299,3822,3820,L
299,3779,3822,L
314,3826,3824,L
316,3829,3827,L
316,3831,3829,L
317,3834,3832,L
319,3837,3835,L
319,3839,3837,L
319,3841,3839,L
321,3844,3842,L
321,3846,3844,L
322,3849,3847,L
324,3852,3850,L
324,3854,3852,L
325,3857,3855,L
327,3860,3858,L
327,3862,3860,L
327,3864,3862,L
329,3867,3865,L
329,3869,3867,L
330,3872,3870,L
332,3875,3873,L
332,3877,3875,L
333,3880,3878,L
335,3883,3881,L
335,3885,3883,L
335,3887,3885,L
337,3890,3888,L
337,3892,3890,L
338,3895,3893,L
340,3898,3896,L
340,3900,3898,L
341,3903,3901,L
343,3906,3904,L
343,3908,3906,L
343,3910,3908,L
345,3913,3911,L
345,3915,3913,L
346,3918,3916,L
348,3921,3919,L
348,3923,3921,L
349,3926,3924,L
351,3929,3927,L
351,3931,3929,L
351,3933,3931,L
353,3936,3934,L
353,3938,3936,L
354,3941,3939,L
356,3944,3942,L
356,3946,3944,L
357,3949,3947,L
359,3952,3950,L
359,3954,3952,L
359,3956,3954,L
361,3959,3957,L
361,3961,3959,L
362,3964,3962,L
364,3967,3965,L
364,3969,3967,L
163,3972,3970,L
365,3975,3973,L
365,3977,3975,L
365,3979,3977,L
366,3982,3980,L
366,3984,3982,L
367,3987,3985,L
369,3990,3988,L
369,3992,3990,L
166,3995,3993,L
370,3998,3996,L
370,4000,3998,L
370,4002,4000,L
362,4005,4003,L
362,3962,4005,L
371,4009,4007,L
373,4012,4010,L
373,4014,4012,L
168,4017,4015,L
374,4020,4018,L
374,4022,4020,L
374,4024,4022,L
367,4027,4025,L
367,3985,4027,L
375,4031,4029,L
377,4034,4032,L
377,4036,4034,L
170,4039,4037,L
378,4042,4040,L
378,4044,4042,L
378,4046,4044,L
371,4049,4047,L
371,4007,4049,L
366,4052,3984,L
380,4055,4053,L
380,4057,4055,L
171,4060,4058,L
381,4063,4061,L
381,4065,4063,L
381,4067,4065,L
375,4070,4068,L
375,4029,4070,L
382,4074,4072,L
384,4077,4075,L
384,4079,4077,L
173,4082,4080,L
385,4085,4083,L
385,4087,4085,L
385,4089,4087,L
386,4092,4090,L
386,4094,4092,L
387,4097,4095,L
389,4100,4098,L
389,4102,4100,L
176,4105,4103,L
390,4108,4106,L
390,4110,4108,L
390,4112,4110,L
382,4115,4113,L
382,4072,4115,L
391,4119,4117,L
393,4122,4120,L
393,4124,4122,L
178,4127,4125,L
394,4130,4128,L
394,4132,4130,L
394,4134,4132,L
387,4137,4135,L
387,4095,4137,L
395,4141,4139,L
397,4144,4142,L
397,4146,4144,L
180,4149,4147,L
398,4152,4150,L
398,4154,4152,L
398,4156,4154,L
399,4159,4157,L
399,4161,4159,L
400,4164,4162,L
402,4167,4165,L
402,4169,4167,L
183,4172,4170,L
403,4175,4173,L
403,4177,4175,L
403,4179,4177,L
395,4182,4180,L
395,4139,4182,L
404,4186,4184,L
406,4189,4187,L
406,4191,4189,L
185,4194,4192,L
407,4197,4195,L
407,4199,4197,L
407,4201,4199,L
408,4204,4202,L
408,4206,4204,L
409,4209,4207,L
411,4212,4210,L
411,4214,4212,L
188,4217,4215,L
412,4220,4218,L
412,4222,4220,L
412,4224,4222,L
404,4227,4225,L
404,4184,4227,L
