x,y,z,LR
-38.73596,-19.343365,67.22014,L
-16.662487,-69.061226,61.281273,L
-9.717618,-9.233264,46.58034,L
-24.019428,43.114872,23.926214,L
-59.8615,0.04929276,8.974564,L
-50.645546,-49.40508,47.81375,L
-36.5736,-87.06731,-1.8099442,L
-20.168797,-62.6966,6.1596403,L
-2.5126808,9.414522,-4.6354594,L
-28.958704,23.361506,-6.695019,L
-54.47248,-22.89301,-6.7342772,L
-35.238747,-25.02756,-25.624228,L
-55.22462,-7.4257164,38.724293,L
-38.625988,23.441357,24.274717,L
-30.029057,11.13932,56.593163,L
-49.76901,-28.171473,53.67928,L
-59.980885,-25.186354,27.288025,L
-21.809156,-35.46772,70.75243,L
-29.118237,-52.003334,39.973583,L
-12.573562,-11.358823,71.52779,L
-14.845052,-44.439568,55.35911,L
-3.4910572,35.500008,51.8308,L
-9.460155,53.125694,1.6969452,L
-3.0763996,17.331244,24.471914,L
-41.3853,52.091393,-3.9919872,L
-11.655368,26.43572,-24.238617,L
-35.79964,16.041775,6.483268,L
-34.455128,-30.914972,17.456015,L
-46.520844,-8.21458,-9.51802,L
-64.801674,-49.09025,15.372241,L
-43.234764,-66.763626,28.363846,L
-62.39036,-57.489124,-2.9550207,L
-25.1949,-79.70998,17.411556,L
-11.969373,-69.15749,33.80544,L
-11.927405,-92.92257,2.2104847,L
-1.0345497,-33.156635,29.890686,L
-7.771056,-30.731197,8.55419,L
-22.520437,7.6780996,-34.365097,L
-35.03866,-25.053253,-11.029582,L
-55.984467,-17.890253,-28.377666,L
-44.254498,-65.22971,-21.628162,L
-18.73218,-58.47779,-9.165233,L
-42.1793,-13.70222,49.564346,L
-42.18926,5.1592493,49.274467,L
-29.003155,-8.088615,47.768562,L
-38.499115,-26.18689,50.165356,L
-41.99066,-21.218847,39.21918,L
-22.417355,-28.79543,54.064587,L
-37.527008,-34.821423,66.70261,L
-23.049765,-14.952072,66.280365,L
-11.9247875,-31.244213,67.19023,L
-21.392956,-0.34557882,56.780285,L
-15.743975,62.887024,13.95782,L
-5.5404043,50.592323,25.548878,L
-16.779144,48.422714,41.00417,L
-29.813889,49.29657,10.211988,L
-18.076382,60.600853,-7.121625,L
-40.46325,38.418427,31.832825,L
-36.166542,36.514366,11.698427,L
-46.50959,-14.095419,15.082479,L
-36.895622,-10.585724,14.4157505,L
-48.968445,6.7863336,-2.4501781,L
-65.73155,-16.065104,17.721397,L
-48.93313,-27.454458,15.910673,L
-53.13607,-63.266563,36.81593,L
-44.471706,-55.583447,20.367659,L
-57.06972,-53.12855,31.63938,L
-38.901005,-50.821297,36.706593,L
-38.78023,-67.404564,49.587643,L
-5.5624475,-75.060165,47.32872,L
-16.5489,-88.28288,38.578743,L
-20.006918,-68.13037,39.484222,L
-7.2759604,-57.076805,60.7777,L
-7.5541067,-55.914295,44.394554,L
-6.771971,6.2189913,39.41908,L
-3.7591014,-9.699843,31.46149,L
-7.5973725,-19.80519,42.21501,L
-1.7553952,19.422148,-23.804167,L
-15.103175,-3.6089756,-13.342018,L
-5.666183,-16.88511,-20.02233,L
-40.766083,-3.1544678,-6.545581,L
-41.442253,14.730929,-22.619177,L
-35.70236,6.437724,-17.824165,L
-54.35194,-38.028477,-5.619121,L
-61.366203,-38.93006,-17.786407,L
-59.80941,-18.043106,-13.952156,L
-20.719807,-102.32774,-8.641691,L
-18.29284,-89.23505,-8.842415,L
-44.554085,-82.48488,-15.50013,L
-6.380674,-46.170956,4.4544992,L
-13.625084,-38.539818,-1.3756692,L
-15.220575,-63.204235,2.402939,L
-61.714905,1.6095514,26.817633,L
