i,j,k,Channel,LR
59,82,39,Fp1,L
59,29,49,Fp1,L
59,39,29,Fp1,L
43,83,74,Fp1,L
57,67,32,Fp1,L
6,2,3,Fp1,L
6,1,2,Fp1,L
6,13,1,Fp1,L
84,79,47,Fp1,L
95,87,38,Fp1,L
40,72,56,Fp1,L
33,16,50,Fp1,L
9,7,15,Fp1,L
9,10,7,Fp1,L
9,14,10,Fp1,L
40,30,19,Fp1,L
40,56,30,Fp1,L
80,48,89,Fp1,L
70,34,78,Fp1,L
70,45,34,Fp1,L
21,51,23,Fp1,L
54,75,90,Fp1,L
54,42,75,Fp1,L
18,53,46,Fp1,L
28,55,20,Fp1,L
28,68,55,Fp1,L
28,41,68,Fp1,L
0,24,8,Fp1,L
0,12,24,Fp1,L
0,4,12,Fp1,L
17,11,5,Fp1,L
17,31,11,Fp1,L
25,26,22,Fp1,L
73,35,44,Fp1,L
73,60,35,Fp1,L
27,36,58,Fp1,L
39,64,40,Fp1,L
82,64,39,Fp1,L
49,15,33,Fp1,L
29,15,49,Fp1,L
29,9,15,Fp1,L
29,19,9,Fp1,L
39,19,29,Fp1,L
39,40,19,Fp1,L
74,78,80,Fp1,L
83,78,74,Fp1,L
83,70,78,Fp1,L
32,52,21,Fp1,L
67,52,32,Fp1,L
85,54,90,Fp1,L
3,20,18,Fp1,L
2,20,3,Fp1,L
2,28,20,Fp1,L
2,8,28,Fp1,L
1,8,2,Fp1,L
1,0,8,Fp1,L
1,5,0,Fp1,L
13,5,1,Fp1,L
13,17,5,Fp1,L
47,44,25,Fp1,L
79,44,47,Fp1,L
79,73,44,Fp1,L
76,81,65,Fp1,L
86,81,76,Fp1,L
86,71,81,Fp1,L
38,37,27,Fp1,L
87,37,38,Fp1,L
56,93,84,Fp1,L
72,93,56,Fp1,L
64,72,40,Fp1,L
16,46,50,Fp1,L
16,18,46,Fp1,L
15,16,33,Fp1,L
7,16,15,Fp1,L
7,18,16,Fp1,L
7,3,18,Fp1,L
10,3,7,Fp1,L
10,6,3,Fp1,L
10,22,6,Fp1,L
14,22,10,Fp1,L
14,25,22,Fp1,L
19,14,9,Fp1,L
30,14,19,Fp1,L
30,25,14,Fp1,L
30,47,25,Fp1,L
56,47,30,Fp1,L
56,84,47,Fp1,L
48,58,89,Fp1,L
48,27,58,Fp1,L
78,48,80,Fp1,L
34,48,78,Fp1,L
34,27,48,Fp1,L
34,38,27,Fp1,L
45,38,34,Fp1,L
45,95,38,Fp1,L
66,33,50,Fp1,L
62,66,97,Fp1,L
62,33,66,Fp1,L
62,49,33,Fp1,L
96,49,62,Fp1,L
96,59,49,Fp1,L
23,69,43,Fp1,L
51,69,23,Fp1,L
52,51,21,Fp1,L
92,51,52,Fp1,L
77,98,91,Fp1,L
77,65,98,Fp1,L
77,76,65,Fp1,L
94,76,77,Fp1,L
99,80,89,Fp1,L
75,99,90,Fp1,L
75,80,99,Fp1,L
75,74,80,Fp1,L
42,74,75,Fp1,L
42,43,74,Fp1,L
20,53,18,Fp1,L
55,53,20,Fp1,L
41,85,68,Fp1,L
41,54,85,Fp1,L
8,41,28,Fp1,L
24,41,8,Fp1,L
24,54,41,Fp1,L
24,42,54,Fp1,L
12,42,24,Fp1,L
12,43,42,Fp1,L
12,23,43,Fp1,L
4,23,12,Fp1,L
4,21,23,Fp1,L
5,4,0,Fp1,L
11,4,5,Fp1,L
11,21,4,Fp1,L
11,32,21,Fp1,L
31,32,11,Fp1,L
31,57,32,Fp1,L
22,13,6,Fp1,L
26,13,22,Fp1,L
26,17,13,Fp1,L
44,26,25,Fp1,L
35,26,44,Fp1,L
35,17,26,Fp1,L
35,31,17,Fp1,L
60,31,35,Fp1,L
60,57,31,Fp1,L
36,86,58,Fp1,L
36,71,86,Fp1,L
37,36,27,Fp1,L
61,36,37,Fp1,L
61,71,36,Fp1,L
69,83,43,Fp1,L
63,45,70,Fp1,L
88,45,63,Fp1,L
88,95,45,Fp1,L
11,38,39,Fp2,R
11,17,27,Fp2,R
11,39,17,Fp2,R
7,26,14,Fp2,R
50,16,12,Fp2,R
93,89,37,Fp2,R
67,65,20,Fp2,R
74,81,92,Fp2,R
32,96,36,Fp2,R
32,91,96,Fp2,R
32,61,91,Fp2,R
97,98,40,Fp2,R
94,53,71,Fp2,R
30,34,62,Fp2,R
42,55,44,Fp2,R
42,73,55,Fp2,R
2,0,1,Fp2,R
15,10,3,Fp2,R
15,35,10,Fp2,R
95,41,59,Fp2,R
66,25,24,Fp2,R
70,33,60,Fp2,R
70,54,33,Fp2,R
48,76,86,Fp2,R
31,22,45,Fp2,R
31,9,22,Fp2,R
21,13,46,Fp2,R
21,5,13,Fp2,R
